SL. no,Crop,Season,Temperature in C,Organic Content in %,Moisture in %,fertiliser %,pesticide usage %,estimated quality,Nitrogen %,Phosphorous %,Potassium %,Yield
1,Potato,Kharif & Rabbi,26,31,38,66,35,53,0.101,0.45,0.615,61
2,Potato,Kharif & Rabbi,30,54,35,46,45,72,0.116,0.49,0.806,77
3,Potato,Kharif & Rabbi,36,24,35,58,52,47,0.041,0.52,0.692,64
4,Potato,Kharif & Rabbi,28,24,67,65,56,44,0.115,0.464,0.606,72
5,Potato,Kharif & Rabbi,27,71,63,28,61,42,0.093,0.587,0.821,68
6,Potato,Kharif & Rabbi,33,63,52,25,55,52,0.132,0.596,0.77,73
7,Potato,Kharif & Rabbi,32,65,46,43,41,87,0.128,0.526,0.781,75
8,Potato,Kharif & Rabbi,26,38,59,71,53,35,0.069,0.52,0.714,62
9,Potato,Kharif & Rabbi,32,51,66,25,56,47,0.102,0.509,0.769,67
10,Potato,Kharif & Rabbi,28,25,53,80,59,49,0.087,0.437,0.563,67
11,Potato,Kharif & Rabbi,30,23,46,75,61,47,0.059,0.457,0.758,69
12,Potato,Kharif & Rabbi,33,52,51,32,51,42,0.091,0.579,0.825,78
13,Potato,Kharif & Rabbi,28,31,67,75,38,51,0.116,0.452,0.611,66
14,Potato,Kharif & Rabbi,34,55,60,31,58,53,0.093,0.45,0.775,79
15,Potato,Kharif & Rabbi,33,44,63,77,32,45,0.091,0.464,0.565,59
16,Potato,Kharif & Rabbi,28,39,36,79,34,40,0.109,0.447,0.709,62
17,Potato,Kharif & Rabbi,35,40,41,77,37,49,0.063,0.398,0.584,60
18,Potato,Kharif & Rabbi,31,40,52,72,54,40,0.08,0.389,0.598,61
19,Potato,Kharif & Rabbi,28,35,50,61,40,54,0.118,0.534,0.628,58
20,Potato,Kharif & Rabbi,28,24,59,62,33,43,0.076,0.456,0.627,71
21,Potato,Kharif & Rabbi,25,63,67,31,39,72,0.092,0.536,0.749,87
22,Potato,Kharif & Rabbi,36,70,53,26,38,73,0.085,0.579,0.747,83
23,Potato,Kharif & Rabbi,28,33,60,76,40,42,0.041,0.519,0.529,71
24,Potato,Kharif & Rabbi,34,59,63,26,58,61,0.101,0.507,0.752,70
25,Potato,Kharif & Rabbi,25,66,61,33,38,87,0.068,0.55,0.746,89
26,Potato,Kharif & Rabbi,27,43,59,67,32,43,0.056,0.426,0.767,70
27,Potato,Kharif & Rabbi,35,44,61,64,40,41,0.107,0.528,0.606,71
28,Potato,Kharif & Rabbi,28,57,65,32,39,74,0.118,0.463,0.73,91
29,Potato,Kharif & Rabbi,34,40,55,77,48,46,0.069,0.428,0.593,71
30,Potato,Kharif & Rabbi,27,68,65,26,50,59,0.122,0.498,0.759,73
31,Potato,Kharif & Rabbi,34,31,55,61,51,48,0.103,0.434,0.663,58
32,Potato,Kharif & Rabbi,26,28,51,69,60,39,0.085,0.527,0.634,59
33,Potato,Kharif & Rabbi,28,25,52,58,51,30,0.047,0.39,0.741,52
34,Potato,Kharif & Rabbi,31,38,60,63,35,52,0.053,0.411,0.706,59
35,Potato,Kharif & Rabbi,25,47,68,67,49,46,0.097,0.423,0.572,63
36,Potato,Kharif & Rabbi,30,24,34,67,55,49,0.066,0.437,0.62,53
37,Potato,Kharif & Rabbi,35,61,63,25,40,78,0.123,0.567,0.817,89
38,Potato,Kharif & Rabbi,26,45,50,63,49,44,0.065,0.412,0.54,62
39,Potato,Kharif & Rabbi,25,71,62,25,52,60,0.111,0.591,0.757,71
40,Potato,Kharif & Rabbi,34,43,45,68,57,48,0.111,0.421,0.604,68
41,Potato,Kharif & Rabbi,36,60,39,41,39,72,0.125,0.51,0.742,76
42,Potato,Kharif & Rabbi,27,27,35,78,32,47,0.1,0.431,0.637,71
43,Potato,Kharif & Rabbi,30,29,66,68,34,54,0.116,0.399,0.714,60
44,Potato,Kharif & Rabbi,25,42,40,80,48,57,0.063,0.522,0.555,69
45,Potato,Kharif & Rabbi,29,43,47,63,41,51,0.083,0.378,0.736,61
46,Potato,Kharif & Rabbi,30,27,62,71,49,46,0.083,0.515,0.633,64
47,Potato,Kharif & Rabbi,27,33,50,73,32,51,0.118,0.373,0.693,67
48,Potato,Kharif & Rabbi,32,60,42,38,40,80,0.092,0.51,0.783,81
49,Potato,Kharif & Rabbi,36,23,45,74,42,54,0.111,0.526,0.753,68
50,Potato,Kharif & Rabbi,36,37,49,68,47,53,0.117,0.491,0.604,67
51,Potato,Kharif & Rabbi,28,64,51,27,33,74,0.121,0.547,0.754,90
